1,Abroad
2,Accept
3,Access
4,Across
5,Acting
6,Action
7,Active
8,Actual
9,Advice
10,Advise
11,Affect
12,Afford
13,Afraid
14,Agency
15,Agenda
16,Almost
17,Always
18,Amount
19,Animal
20,Annual
21,Answer
22,Anyone
23,Anyway
24,Appeal
25,Appear
26,Beyond
27,Bishop
28,Border
29,Bottle
30,Bottom
31,Bought
32,Branch
33,Breath
34,Bridge
35,Bright
36,Casual
37,Caught
38,Center
39,Centre
40,Chance
41,Change
42,Charge
43,Choice
44,Choose
45,Chosen
46,Church
47,Circle
48,Client
49,Closed
50,Closer
51,Coffee
52,Column
53,Combat
54,Coming
55,Common
56,Comply
57,Copper
58,Corner
59,Costly
60,County
61,Budget
62,Burden
63,Bureau
64,Button
65,Camera
66,Cancer
67,Cannot
68,Carbon
69,Career
70,Castle
71,Around
72,Arrive
73,Artist
74,Aspect
75,Assess
76,Assist
77,Assume
78,Attack
79,Attend
80,August
81,Author
82,Avenue
83,Backed
84,Barely
85,Battle
86,Beauty
87,Became
88,Become
89,Before
90,Behalf
91,Behind
92,Belief
93,Belong
94,Bestie
95,Better
96,During
97,Easily
98,Eating
99,Editor
100,Effect
101,Effort
102,Eighth
103,Either
104,Eleven
105,Emerge
106,Couple
107,Course
108,Covers
109,Create
110,Credit
111,Crisis
112,Custom
113,Damage
114,Danger
115,Dealer
116,Debate
117,Decade
118,Decide
119,Defeat
120,Defend
121,Define
122,Degree
123,Demand
124,Depend
125,Deputy
126,Desert
127,Design
128,Desire
129,Detail
130,Detect
131,Device
132,Differ
133,Dinner
134,Direct
135,Doctor
136,Dollar
137,Domain
138,Double
139,Driven
140,Driver
